0,1,2
"[1, 3, 3, 4, 4, 0, 2, 4, 1, 0, 2, 3, 3, 2, 4, 0, 1, 2, 1, 0]","[0.0, 0.03618927932664745, 0.34173042087032257, 1.0, 0.2712178262632294]","[0.0, 0.0, 1.0, 1.0, 1.0]"
"[4, 1, 1, 2, 1, 1, 0, 0, 3, 0, 2, 3, 3, 2, 3, 2, 0, 4, 4, 4]","[0.6897384402660406, 1.0, 0.7483151769535378, 0.5322337363920241, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]"
"[1, 0, 1, 3, 2, 0, 3, 2, 3, 4, 4, 1, 3, 0, 2, 4, 0, 2, 4, 1]","[0.7309845534341295, 0.0, 0.629737091317532, 1.0, 0.004902553631769006]","[1.0, 0.0, 1.0, 1.0, 0.0]"
"[0, 0, 1, 3, 1, 1, 1, 4, 2, 0, 3, 2, 3, 2, 3, 2, 4, 0, 4, 4]","[0.3868701578404406, 1.0, 0.6048756126843711, 0.42303950182033584, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0]"
"[4, 3, 0, 2, 0, 2, 4, 1, 1, 3, 2, 3, 1, 4, 0, 2, 4, 3, 0, 1]","[0.08041263145739963, 0.0, 1.0, 0.40458430930045924, 0.5384123911349324]","[0.0, 0.0, 1.0, 1.0, 1.0]"
"[0, 0, 4, 0, 2, 3, 3, 3, 2, 1, 1, 2, 4, 3, 2, 0, 1, 1, 4, 4]","[0.7774785527307271, 0.0, 1.0, 0.8225441348711504, 0.20090193173077217]","[1.0, 1.0, 1.0, 1.0, 0.0]"
"[4, 2, 1, 1, 4, 4, 0, 3, 2, 0, 0, 3, 2, 0, 3, 2, 3, 4, 1, 1]","[1.0, 0.0, 0.8906097847831328, 0.6234500049427474, 0.2803381860547205]","[1.0, 0.0, 1.0, 1.0, 1.0]"
"[3, 0, 0, 4, 1, 2, 2, 3, 1, 3, 4, 0, 1, 4, 2, 1, 0, 4, 2, 3]","[0.8460684432738167, 1.0, 0.6815348966485762, 0.0, 0.4484951658093201]","[1.0, 1.0, 0.0, 0.0, 1.0]"
"[0, 3, 4, 1, 3, 0, 2, 4, 4, 2, 1, 0, 3, 1, 2, 3, 0, 1, 2, 4]","[0.36507643267349466, 3.871233398076611e-11, 0.0, 1.0, 0.20758602817884217]","[1.0, 1.0, 0.0, 1.0, 0.0]"
"[4, 3, 3, 0, 0, 2, 4, 1, 2, 2, 4, 1, 4, 3, 3, 1, 0, 2, 1, 0]","[0.0, 0.18231763300161877, 0.4843980461121626, 1.0, 0.3139420688459128]","[0.0, 0.0, 1.0, 1.0, 1.0]"
"[2, 4, 2, 1, 3, 0, 3, 4, 4, 2, 0, 0, 1, 2, 4, 0, 3, 1, 1, 3]","[0.8195476114761631, 0.07265727154007154, 1.0, 0.0, 0.22846190698193602]","[1.0, 0.0, 1.0, 0.0, 1.0]"
"[0, 2, 1, 2, 3, 4, 3, 4, 2, 1, 1, 3, 4, 0, 0, 1, 3, 2, 0, 4]","[0.0, 1.0, 0.7464444575096655, 0.9637863437909079, 0.36157185336761627]","[0.0, 1.0, 1.0, 1.0, 0.0]"
"[1, 2, 4, 3, 2, 2, 0, 0, 4, 3, 2, 0, 3, 4, 3, 0, 4, 1, 1, 1]","[0.7594136481424143, 0.150920272548119, 1.0, 0.47685930491851064, 0.0]","[1.0, 0.0, 1.0, 1.0, 1.0]"
"[1, 4, 4, 0, 4, 1, 1, 3, 0, 2, 3, 2, 4, 3, 0, 2, 3, 1, 0, 2]","[6.890968587440018e-12, 5.138417563535724e-10, 0.0, 1.0, 0.34211668140018636]","[0.0, 1.0, 0.0, 1.0, 1.0]"
